"","text","favoriteCount","created","statusSource","period"
"156","   Totally right",0,"2022-12-11","iPhone",1
"157","The goat juste en dessous Jesus  ",0,"2022-12-11","iPhone",1
"158","    Where is Harry Kane in your list",0,"2022-12-11","Android",1
"159","  Easy win my Friend pray May God have mercy on them because we will have none the humiliat ",0,"2022-12-11","Android",1
"160","   Where and when have we heard that comment before For the lat 57 years ",0,"2022-12-11","iPhone",1
"161","which teams  are win the semi  final  
comment here 
  
  ",3,"2022-12-11","Web App",1
"162","  Welcome to casemiro CDM academy ",0,"2022-12-11","iPhone",1
"163"," Gode save the Keane",0,"2022-12-11","Android",1
"164","so cute ",0,"2022-12-11","Android",1
"165","   They now need an elite coach",0,"2022-12-11","iPhone",1
"166","  Calm down bro take the L",0,"2022-12-11","iPhone",1
"167"," Very nice ",0,"2022-12-11","iPhone",1
"168"," Free from disire",0,"2022-12-11","Android",1
"169","Tchouameni scored a fantastic goal and made a beginners mistake for the first penalty He wont make that mistake ",0,"2022-12-11","Android",1
"170","   Try harder not to be next to be out",0,"2022-12-11","Android",1
"171","   2 penalties dude 2 just try to score and the refs wont be a problem anymore",2,"2022-12-11","Android",1
"172","    Ronaldo is the best player in history in my opinion and I think by sta ",1,"2022-12-11","Android",1
"173","  Why the chicken",0,"2022-12-11","iPhone",1
"174","  Two words Chasseur and why",0,"2022-12-11","iPhone",1
"175","  European clubs without our professional players are nothing",0,"2022-12-11","Android",1
"176","  You were a spectator or",0,"2022-12-11","Android",1
"177","  Mbappe please beat maroc  its for ronaldo ",0,"2022-12-11","Android",1
"178","   Tonight yes",0,"2022-12-11","Android",1
"179","  Lol not like you got to play we kept you out the game Anyway congratulations you guys ar ",0,"2022-12-11","Android",1
"180","  What a game France are the best not the best",0,"2022-12-11","Android",1
"181","  I love that moment bro Keep the fire burning firefirefirefirefire",0,"2022-12-11","Android",1
"182","  How many penalty you need",1,"2022-12-11","Android",1
"183","FIFA WORLD CUP 2022 trophy
Semifinals soccer
Argentina  Vs Croatia 
France  Vs Morocco 
  ",0,"2022-12-11","Android",1
"184","  Pleure WE ARE IN SEMI FINAL AND YOU COME BACK HOMEstuckouttonguewinkingeyewavewavewave",0,"2022-12-11","iPhone",1
"185","  Respect",0,"2022-12-11","Web App",1
"186","   Congratulations clap",0,"2022-12-11","Android",1
"187","   Maybe so Henry but those tournaments will be at the end of long hard seasons ",1,"2022-12-11","Android",1
"188","    Theyve never beaten a major football team in the knockout stages ",0,"2022-12-11","iPhone",1
"189","  Limpide ",0,"2022-12-11","iPhone",1
"190","  Congratulations ",1,"2022-12-11","Android",1
"191","  Will you show Achraf Hakimi any mercy and can you predict the score so I can win the jackpot for once",0,"2022-12-11","Web App",1
"192","Cant wait for another banger after Ramenez La Coupe la a maison ",0,"2022-12-11","iPhone",1
"193","Fifa 2022 Semifinals 
 vs Morocco 
Thu 15th Dec 1230 am 
seenoevil
France win facepunch",0,"2022-12-11","Android",1
"194","     The whole side that started against England were bo ",0,"2022-12-11","Android",1
"195","   Lol just enjoy him whilst he is great amp hope he will come to Madrid which I dont want",1,"2022-12-11","Android",1
"196"," Cash Money de Mc Solar ",0,"2022-12-11","iPhone",1
"197","    Congratulations to the final 4clapclap SemiFinals FIFAWorldCup2022",0,"2022-12-11","Android",1
"198","CHAMPION TEAM ALEZZ ",5,"2022-12-11","Android",1
"199","    Probably an unintentional Freudian slip of the keyboard ",1,"2022-12-11","Android",1
"200","  Poor game mbappe you were outplayed by a fair bit",0,"2022-12-11","Android",1
"201","    Yes absolutely right",0,"2022-12-11","Android",1
"202","  Lets go",0,"2022-12-11","iPhone",1
"203","  That was a really good goal",1,"2022-12-11","iPhone",1
"204","     Brazil are out too",0,"2022-12-11","iPhone",1
"205","   Bruhhhh everyone laughed it was funny tho joyjoy",0,"2022-12-11","Android",1
"206","    What a win for England sobsobjoy",0,"2022-12-11","iPhone",1
"207","The definition of a happy manhearteyes",0,"2022-12-11","Android",1
"208","Presenting Qatar2022s final four from 32 teams

  
  
  
 

FIFAWorldCup",0,"2022-12-11","Android",1
"209","  Un rve 
You have already achieved this",0,"2022-12-11","Android",1
"210","   You probably said the same about Scholes Gerarrds ect generation  they won sod all internationally",0,"2022-12-11","Android",1
"211","  You can do it soccerstar2trophy",0,"2022-12-11","iPhone",1
"212","A part of me wanted us to win the CL just to see the vibes with this song in the dressing room ",1,"2022-12-11","Android",1
"213","  BOYCOTT ",7,"2022-12-11","Android",1
"214","  i like you blueheart",0,"2022-12-11","Android",1
"215"," Was the ref there as well",0,"2022-12-11","Web App",1
"216"," Scotland thanks you 
",0,"2022-12-11","iPhone",1
"217","  Fuck  ",0,"2022-12-11","iPhone",1
"218","    Hope youve got your receipt for your face paint you plastic cup l ",0,"2022-12-11","iPhone",1
"219","    Until  can learn to defeat better quality teams in major ",0,"2022-12-11","Android",1
"220","   Keep the faith ",0,"2022-12-11","Web App",1
"221","  Boss go ahead Again we want to see The World Cup in your hand",0,"2022-12-11","Android",1
"222","Bravo  You Rock Qatar2022   ",1,"2022-12-11","iPhone",1
"223","  Giroud grizzman rabiot lloris hernandez not african",0,"2022-12-11","Android",1
"224","  Masa why you dey copy Salisu en celebration",0,"2022-12-11","iPhone",1
"225","     You can see kanes legs over the box",0,"2022-12-11","Android",1
"226","   We are better stay mad",0,"2022-12-11","iPhone",1
"227","    Is This a real question Its obviously really Bellingham always trys ",0,"2022-12-11","iPhone",1
"228","   Lmao yall add 2 penalties and still didnt win skullwhat a shame we need 0 go cry ",0,"2022-12-11","iPhone",1
"229","10122022
Varane  Lloris and Giroud family attend the quarter final match between England and France blueheart

Pic ",0,"2022-12-11","iPhone",1
"230","10122022
Varane  Lloris and Giroud family attend the quarter final match between England and France blueheart

Pic ",0,"2022-12-11","iPhone",1
"231","Pioli is not in Qatar but hes still on firefirefire My coach is legendary
PioliIsOnFire FIFAWorldCup ENGFRA Milano ",0,"2022-12-11","Android",1
"232","  All the players of the Moroccan national team were trained in EuropeYou are Arabs",0,"2022-12-11","Android",1
"233","   Someone teach this guy how to photoshop",0,"2022-12-11","iPhone",1
