"","text","favoriteCount","created","statusSource","period"
"124"," Correct 1 Yeah Argentina Vs Final will be nice I m hoping the same Hope Argentina wins Its Messis last",0,"2022-12-11","Android",1
"125"," It will be Argentina and France Save this tweet",0,"2022-12-11","Android",1
"126","Remember how the tl was when Saudi beat Argentina wink",0,"2022-12-11","iPhone",1
"127","argentina will be eliminated ",0,"2022-12-11","iPhone",1
"128","When Argentina lost to Saudi Messi was the centre of criticism even from the Saudi players Argentina was written ",0,"2022-12-11","Android",1
"129"," Im old enough to remember the horrendous abuse David Beckham took when he was sent off and was largel ",0,"2022-12-11","iPhone",1
"130"," Educate me Mam what did Argentina do to Africa",0,"2022-12-11","Android",1
"131","Which team going to Final

FIFAWorldCup
FIFAWorldCup2022
Morocco
Croatia
France 
Argentina",0,"2022-12-11","iPhone",1
"132","  Argentina  Morocco final would be mental ngl",0,"2022-12-11","Web App",1
"133","but but but argentina and messi are disrespectful  madridbrazil fans ",0,"2022-12-11","iPhone",1
"134"," France and Argentina",0,"2022-12-11","Web App",1
"135","Argentina vs Netherlands 22  Full Penalties Shootout 43 ",0,"2022-12-11","iPad",1
"136","World Cup
Quarter Finals 

Croatia 1 4
defeats
Brazil 1 2

Argentina 2 4
defeats 
Netherlands 2 3

Morocco ",0,"2022-12-11","iPhone",1
"137"," Argentina vs France",0,"2022-12-11","Android",1
"138"," Serbia vs Cameroon 
Argentina vs Holland
Brazil Croatia 
Etc",0,"2022-12-11","iPhone",1
"139","Think once  Football World Cup has started there is no Messi Ronaldo

Ronaldo
Messi 
Messi Ronaldo ",0,"2022-12-11","Android",1
"140","Can somebody tell me why Dybala doesnt play for Argentina",0,"2022-12-11","Android",1
"141"," Argentina for Messi",0,"2022-12-11","Android",1
"142","The Portugal players should really be ashamed of themselves after giving those interviews They were bitching about ",0,"2022-12-11","iPhone",1
"143","As e dey pain them 
E dey sweet us 
Vamos Argentina ",0,"2022-12-11","iPhone",1
"144"," Argentina  will be the Winner of Fifa World Cup 2022

GuessTheWinner
Sagility WeAreSagility ",0,"2022-12-11","Android",1
"145","Casillas once said Mourinho made us Barcelona amp Messi Now Im convinced Ronaldo made Portugal hate Argentina amp M ",0,"2022-12-11","Android",1
"146"," 

For the newly elected president of Argentina then amp the rest of the stakeholders 1986 WC for them was ",0,"2022-12-11","Android",1
"147","Argentina vs France final as predicted ",0,"2022-12-11","iPhone",1
"148","argentina vs croatia or argentina vs france",0,"2022-12-11","Web App",1
"149"," I think leo Messi will be a best player Because he is the mastermind of the Argentina game ",0,"2022-12-11","Android",1
"150","World Cup tickets
Morocco vs France
Argentina vs Croatia 
1200 EACH 

Face to face Cat 2 mid level send money f ",0,"2022-12-11","iPhone",1
"151","Listen to Argentina For The Win by Jafa  on Boomplay ",0,"2022-12-11","Boomplay Music",1
"152","Its gonna be Argentina va Morocco You heard it first here",1,"2022-12-11","iPhone",1
"153"," Messi is enough to support Argentina",0,"2022-12-11","Web App",1
"154","   He payed too much attention to the Argentina match and forgot they had to win Morocco to qualify",0,"2022-12-11","iPhone",1
"155"," Yesterdays match was mostly officiated by Argentina referees 5 out of 8 ",1,"2022-12-11","Android",1
"156"," This is idiotic The ref was dreadful and France didnt deserve the win Hopefully they get knackered by ",0,"2022-12-11","iPhone",1
"157","Louis van Gaal steps down as Netherlands boss after World Cup shootout defeat to Argentina inQatar ",0,"2022-12-11","Jetpack.com",1
"158","  Hector Baley world champion but yes Argentina doesnt allow black people ",1,"2022-12-11","Android",1
"159","Modern House plans housewithgardenAmazing designs  fireCallWhatsapp 0760769151 for a Quote 

Check out the pinned THREAD on my ",0,"2022-12-11","Web App",1
"160","Polish pastor locked up for criticizing Catholic dogma Verdict TOMORROW
WATCHpointright",0,"2022-12-11","Web App",1
"161","not too big on the world cup but i predict argentina",0,"2022-12-11","iPhone",1
